Year,Yield (tons/acre),radiation,rain,avg_min_temp,avg_max_temp,City
2005-06-08,1.4268,115786.58,1009.08,2.0242,12.79,Chazy
2005-07-19,1.771111111111111,26518.36,252.69999999999996,12.9497,24.3164,Chazy
2005-07-20,1.1944,130742.75,1213.91,3.4019,14.2146,Chazy
2005-08-28,1.3244444444444445,41061.0,336.42,13.7771,25.2588,Chazy
2005-08-29,0.8092,145274.02,1297.63,4.4011,15.2895,Chazy
2006-06-05,1.751111111111111,111718.15,1246.21,3.8601000000000005,14.0698,Chazy
2006-06-06,1.5316,216122.46,2207.42,2.7176,13.1731,Chazy
2006-07-13,1.3506976744186046,186152.2358139535,1941.913023255814,3.9165,14.297102325581395,Chazy
2006-08-30,1.167906976744186,203030.7458139535,2084.2330232558143,4.758874418604651,15.199581395348837,Chazy
2007-06-14,2.4611627906976743,281342.45581395354,2814.263023255814,2.90606511627907,13.183023255813954,Chazy
2007-07-24,1.3972093023255814,295219.9058139535,2982.363023255814,3.3583651162790695,13.663306976744186,Chazy
2007-09-04,1.1130232558139534,310635.70581395354,3084.3530232558137,3.781560465116279,14.165669767441862,Chazy
2008-06-12,1.7036842105263157,326682.51,3378.13,2.8999,13.2154,Chazy
2008-07-15,0.9252631578947368,338567.68,3485.85,3.229,13.5643,Chazy
2008-09-02,0.6205263157894737,354783.88,3698.57,3.6946,14.047699999999999,Chazy
2009-06-10,2.056111111111111,115426.35,1039.58,2.4201,13.0981,Chazy
2009-07-22,1.6772222222222224,129860.17,1189.92,3.5251,14.1419,Chazy
2009-09-01,1.3672222222222221,144225.8,1347.97,4.5394,15.162699999999997,Chazy
2010-06-07,2.886111111111111,218579.57,1995.03,2.9238,13.183,Chazy
2010-07-19,2.1205555555555557,232575.44,2132.99,3.5936,13.8554,Chazy
2010-08-23,1.2561111111111112,245148.75999999998,2308.58,4.0693,14.3629,Chazy
2011-06-20,2.4194444444444443,326638.41,3334.52,2.8882,12.9956,Chazy
2011-08-03,1.5127777777777778,343032.51,3410.61,3.3549,13.5358,Chazy
2011-09-14,1.1327777777777779,356228.07,3675.9100000000003,3.7293,13.9318,Chazy
2014-06-01,1.9835,209036.19,1949.17,1.9609,12.4864,Chazy
2014-07-21,2.1719999999999997,227626.57,2118.75,2.754,13.3262,Chazy
2014-08-25,1.269,239726.59,2255.81,3.2298,13.8152,Chazy
2016-06-12,2.5683333333333334,121740.49,1102.98,3.7005,14.8611,Chazy
2016-07-18,1.825,135567.08,1195.22,4.5296,15.852200000000002,Chazy
2016-08-28,1.2916666666666667,150125.13,1319.34,5.479499999999999,16.8507,Chazy
2017-06-21,2.6149999999999998,227269.34,2056.99,3.6697,14.463500000000002,Chazy
2017-08-14,1.88,245978.12,2293.29,4.389,15.1815,Chazy
2018-06-20,3.160833333333333,332803.83,2976.89,3.1776,13.9339,Chazy
2018-07-24,1.7283333333333333,345866.21,3029.91,3.5246,14.3512,Chazy
2018-09-12,1.4525,362512.74,3171.58,4.0273,14.8663,Chazy
