Yield (tons/acre),radiation,rain,avg_min_temp,avg_max_temp,City,Year
2.13,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.19,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.11,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.17,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.15,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.22,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.03,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.17,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.11,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.1,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.98,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.92,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.98,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.99,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.85,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.91,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.14,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.29,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.04,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.15,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.23,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
2.11,341395.76,3618.14,2.3466,13.2826,Ithaca,6/15/05
1.73,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.85,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.85,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
2.0,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.79,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.93,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.8,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.83,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.7,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.76,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.8,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.62,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.68,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.61,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.66,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.51,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.85,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.72,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.96,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.9,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.72,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
1.69,358003.82,3721.11,2.8057,13.7932,Ithaca,7/28/05
0.73,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.84,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.87,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.86,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.79,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.84,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.79,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.75,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.75,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.79,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.82,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.69,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.77,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.67,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.67,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.64,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.81,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.72,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.85,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.84,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.78,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
0.64,373381.0,3837.77,3.1904,14.2618,Ithaca,9/7/05
1.63,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.59,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.5,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.56,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.44,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.52,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.42,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.42,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.54,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.47,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.38,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.44,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.34,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.42,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.41,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.34,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.42,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.39,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.32,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.33,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.26,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.09,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
