State,City,Date Sown,Brand,Variety,Date of Cut,Julian Day,Plant Lodge,Plant Height,Yield % or Vernal,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Harvested in Sown Year,First Date of Season,Percent Cover (%),Total Solar Radiation (W/m^2),Total precipitation (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
NY,Ithaca,5/10/02,,Seedway 9558,6/15/05,,,,,2.13,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,HYTEST 410,6/15/05,,,,,2.19,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paragon BR,6/15/05,,,,,2.11,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,4A421,6/15/05,,,,,2.17,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,WL 319HQ,6/15/05,,,,,2.15,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Tribute,6/15/05,,,,,2.22,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paramount II,6/15/05,,,,,2.03,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,AmeriStand 403T,6/15/05,,,,,2.17,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,5312 (check),6/15/05,,,,,2.11,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Reward II,6/15/05,,,,,2.1,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Hybri-Force 400,6/15/05,,,,,1.98,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida Ultra,6/15/05,,,,,1.92,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Baralfa 53 HR,6/15/05,,,,,1.98,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Feast +EV,6/15/05,,,,,1.99,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida VR (check),6/15/05,,,,,1.85,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Vernal (check),6/15/05,,,,,1.91,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,54H46,6/15/05,,,,,2.14,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,NY0131,6/15/05,,,,,2.29,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS 108 HYB,6/15/05,,,,,2.04,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS106 HYB,6/15/05,,,,,2.15,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS107 HYB,6/15/05,,,,,2.23,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,3M49,6/15/05,,,,,2.11,,,0,1,,341395.76,3618.14,2.3466,13.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Seedway 9558,7/28/05,,,,,1.73,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,HYTEST 410,7/28/05,,,,,1.85,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paragon BR,7/28/05,,,,,1.85,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,4A421,7/28/05,,,,,2,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,WL 319HQ,7/28/05,,,,,1.79,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Tribute,7/28/05,,,,,1.93,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paramount II,7/28/05,,,,,1.8,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,AmeriStand 403T,7/28/05,,,,,1.83,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,5312 (check),7/28/05,,,,,1.7,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Reward II,7/28/05,,,,,1.76,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Hybri-Force 400,7/28/05,,,,,1.8,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida Ultra,7/28/05,,,,,1.62,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Baralfa 53 HR,7/28/05,,,,,1.68,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Feast +EV,7/28/05,,,,,1.61,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida VR (check),7/28/05,,,,,1.66,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
